"","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","centrality"
"CLDN6",0,0,5,16,33,63,91,136,200,278,393,549,786,23.1246654457142
"CLDN7",0,0,5,18,30,54,85,134,196,268,376,551,770,22.9861384293845
"KRT18",0,0,3,14,34,53,90,125,183,266,379,543,767,22.8536724975715
"CLDN4",0,0,2,16,28,52,88,129,192,265,373,530,750,22.7694528676301
"ANXA3",0,0,1,12,30,57,96,129,187,274,381,531,761,22.7558713971616
"EPCAM",0,0,2,15,29,49,81,127,184,258,372,519,744,22.6618189887336
"ARHGAP29",0,0,2,13,27,52,85,124,177,262,370,520,729,22.6178087798414
"KRT19",0,0,1,10,26,53,84,125,179,261,371,553,776,22.5863757590849
"KRT8",0,0,2,9,29,47,80,118,176,252,363,535,755,22.5047792543483
"TACSTD2",0,0,1,8,23,49,79,118,177,250,362,503,718,22.3025023405516
"SPINT2",0,0,0,6,26,48,80,115,176,251,362,525,745,22.2148364663579
"WNT6",0,0,0,4,23,45,78,114,172,243,364,515,737,22.0450094786495
"ACSM3",0,0,0,4,17,40,72,115,161,238,340,483,695,21.7605627353903
"CDH6",0,0,0,3,19,45,75,111,162,234,331,479,691,21.7477476910093
"ANXA2",0,0,0,8,14,37,58,100,148,221,319,482,677,21.5520664314152
"CDH1",0,0,0,3,18,37,64,98,156,221,324,471,687,21.5026312390831
"PLP1",0,0,0,1,10,33,69,102,153,234,353,515,727,21.3927708127041
"EFNA1",0,0,0,2,16,35,65,93,150,223,322,467,671,21.3488351770591
"SEMA3D",0,0,0,2,18,37,64,102,144,225,309,447,646,21.336848668412
"VAMP8",0,0,0,2,17,34,63,100,144,215,316,459,671,21.3155462801607
"CD24",0,0,0,4,14,33,62,103,148,212,307,454,622,21.3032722937889
"DMKN",0,0,0,1,11,32,67,101,148,211,331,482,700,21.2256585158038
"CYP26A1",0,0,0,2,11,31,58,95,146,213,304,433,631,21.0440062483258
"MYL12B",0,0,0,2,11,28,59,96,144,213,301,436,646,21.032280916995
"PDLIM1",0,0,0,1,14,31,59,95,143,213,304,427,633,21.0090038377798
"TSTD1",0,0,0,0,12,34,66,94,144,207,304,454,641,20.9296664810823
"LY6E",0,0,0,3,10,30,51,89,137,203,291,416,603,20.870501729632
"TINAGL1",0,0,0,0,12,31,55,95,136,205,291,426,622,20.7322402159638
"PERP",0,0,0,0,9,27,58,82,135,198,291,458,654,20.641986706177
"RPS2",0,0,1,7,13,35,54,68,108,161,242,328,510,20.5582530085791
"TDRP",0,0,0,0,8,29,50,90,132,202,281,417,619,20.5110636393699
"SLC2A3",0,0,0,2,5,24,48,87,129,183,287,411,590,20.4596779691391
"RPS3",0,0,1,6,14,36,57,73,101,152,215,305,473,20.3880187931105
"EDNRB",0,0,0,1,3,20,50,84,122,183,293,438,656,20.3183732023771
"ATP1B3",0,0,0,0,1,25,51,91,139,201,300,463,675,20.2786063041199
"SEMA3A",0,0,0,0,4,22,44,74,121,185,285,424,621,20.100477724294
"SPP1",0,0,0,0,3,20,45,86,121,178,273,425,624,20.0462430694841
"KRT7",0,0,0,0,6,20,42,68,117,179,257,391,609,19.9588166151071
