Gene,AUC,clusts,p.value,,,,
Pdxk-ps,0.96916052,1,1.67E-28,,,,
Ppt2,0.9600281,1,2.27E-27,,,,
Gm11127,0.959887601,1,3.75E-27,,,,
2310040G24Rik,0.948155954,1,5.07E-26,,,,
Gm4262,0.915700738,1,9.84E-22,,,,
Psmb10,0.898946259,1,4.72E-20,,,,
Xpr1,0.890059712,1,7.29E-19,,,,
Gnpnat1,0.884510011,1,2.92E-18,,,,
N6amt2,0.881454162,1,5.93E-18,,,,
Agmat,0.879522304,1,2.65E-20,,,,
Nudt9,0.871303126,1,5.12E-17,,,,
Vpreb3,0.870144011,1,1.33E-20,,,,
Tmem64,0.866385669,1,2.25E-16,,,,
Mybpc2,0.864418686,1,1.06E-17,,,,
Nt5c,0.863716192,1,3.88E-16,,,,
Cux2,0.856621005,1,7.57E-16,,,,
Slc22a13,0.855778012,1,9.18E-23,,,,f
Elf3,0.966147489,3,4.62E-11,,,,
Abca3,0.965829625,3,4.13E-11,,,,
Fmnl2,0.949936427,3,1.95E-10,,,,
Csf3r,0.947075652,3,5.03E-10,,,,
Lgals4,0.943102352,3,5.86E-11,,,,
Dhrs7,0.938652257,3,8.69E-10,,,,
Klf6,0.933010172,3,1.18E-09,,,,
Tmprss2,0.93245391,3,6.92E-12,,,,
Akr1b8,0.931818182,3,3.26E-09,,,,
Akr1b10,0.928003814,3,3.63E-09,,,,
Ptprf,0.927368086,3,3.61E-09,,,,
Enpep,0.924825175,3,6.83E-09,,,,
Krt8,0.922759059,3,7.89E-09,,,,
Ank,0.914971392,3,2.42E-08,,,,
Erbb3,0.913858868,3,1.41E-08,,,,
Cgnl1,0.910362365,3,1.00E-08,,,,
Lrrfip1,0.908773045,3,4.60E-08,,,,
Mycbpap,0.905276542,3,8.50E-11,,,,
2010300C02Rik,0.90511761,3,1.97E-09,,,,
Mkl1,0.904958678,3,6.34E-08,,,,
Ech1,0.904958678,3,6.76E-08,,,,
Gm12171,0.89995232,3,2.77E-15,,,,
Acot2,0.898601399,3,5.10E-08,,,,
Cbs,0.897250477,3,9.98E-08,,,,
Cldn4,0.894151303,3,2.79E-07,,,,
Gsta4,0.893833439,3,2.41E-07,,,,
Tmem62,0.893038779,3,3.18E-07,,,,
Emp2,0.892720915,3,2.64E-07,,,,
Lrp2,0.891767324,3,2.24E-07,,,,
Ahnak,0.891608392,3,3.68E-07,,,,
P2rx3,0.891290528,3,7.56E-10,,,,
Slc22a5,0.8906548,3,4.48E-08,,,,
Serpinb6b,0.890178004,3,7.80E-08,,,,
Acsf2,0.889701208,3,4.44E-07,,,,
Cpn1,0.888747616,3,4.62E-07,,,,
Slc9a3r1,0.887635092,3,4.88E-07,,,,
Fxyd4,0.887158296,3,4.82E-07,,,,
Sh3bgrl2,0.884138589,3,4.08E-07,,,,
Dapk1,0.883979657,3,2.11E-09,,,,
Ppp1r3b,0.883502861,3,6.56E-07,,,,
Tjp2,0.883343929,3,9.15E-07,,,,
Wnk2,0.881595677,3,4.44E-07,,,,
Dsg2,0.881118881,3,1.85E-07,,,,
Pgm2,0.881118881,3,6.15E-07,,,,
Gcnt1,0.880959949,3,1.04E-06,,,,
Slc37a2,0.880801017,3,8.83E-08,,,,
Kcnu1,0.879688493,3,1.06E-12,,,,
Rab17,0.878973299,3,3.31E-07,,,,
Alpl,0.878417038,3,1.50E-06,,,,
Krt7,0.868881119,3,1.39E-07,,,,
Dkkl1,0.868324857,3,1.91E-06,,,,
Sh2d4a,0.867609663,3,4.41E-11,,,,
2200002D01Rik,0.866815003,3,4.97E-06,,,,
Dsp,0.863159568,3,3.97E-06,,,,
Fam101b,0.863000636,3,7.67E-06,,,,
Pigz,0.862205976,3,3.39E-09,,,,
Acer1,0.860775588,3,2.41E-06,,,,
Epb4.1l1,0.860616656,3,1.98E-06,,,,
Mapre3,0.859663064,3,5.97E-10,,,,
Slc2a3,0.85855054,3,1.12E-05,,,,
Spata13,0.857914812,3,9.00E-08,,,,
Fxyd6,0.85775588,3,2.04E-06,,,,
Txndc16,0.857517483,3,4.44E-06,,,,
Heatr7a,0.857438017,3,1.34E-05,,,,
Adap2,0.856166561,3,2.68E-06,,,,
Erbb2,0.856007629,3,8.83E-07,,,,
Mccc2,0.854418309,3,1.74E-05,,,,
Gm5424,0.853464717,3,1.98E-05,,,,
Atg16l2,0.852034329,3,2.11E-05,,,,
Slc46a1,0.851716465,3,2.34E-05,,,,
Sft2d2,0.851080737,3,4.93E-07,,,,
Rsad1,0.850842339,3,1.97E-07,,,,
Uhrf1,0.955253896,4,8.26E-14,,,,
Rnd3,0.94306184,4,5.42E-13,,,,
